NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
80,266,1,22,3,1,1,4,3,4,4,4,2,4,4,3,4,4,4,4,2,2,1,1,5,5,4,4,5,5,4,4,5,1,1,4,5,5,4,4,13,7,9,3,4,20,16,13,16,6,6,4,-3
81,212,1,23,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,15,14,8,6,6,4,4,8,8,1,2,0,0
82,197,2,26,5,3,2,2,2,4,4,3,3,3,2,3,2,2,2,2,2,1,1,2,3,5,3,4,5,3,4,3,4,3,4,3,4,3,4,3,12,13,7,9,4,13,17,13,15,-1,-2,-4,-2
83,622,2,NA,2,2,2,4,3,5,3,4,2,4,2,2,3,3,3,4,2,1,1,1,5,4,4,3,4,5,3,4,5,4,4,3,4,5,3,4,10,10,8,6,3,20,16,16,12,0,2,4,4
84,250,1,21,2,2,2,3,3,2,3,3,4,3,3,2,2,2,2,2,2,2,1,2,3,4,3,2,3,4,2,2,3,4,3,2,3,4,3,3,17,12,6,9,5,14,14,11,9,5,-3,0,2
85,532,2,23,4,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,3,3,3,3,3,3,3,4,1,3,3,4,2,3,3,14,12,9,6,6,13,11,12,12,2,3,2,0
86,277,2,26,4,3,3,4,2,2,4,4,3,3,5,2,3,4,2,3,2,2,2,2,4,5,3,4,4,3,3,3,4,2,4,2,5,3,5,3,17,11,7,6,6,14,16,13,14,6,1,-2,-1
87,158,2,22,3,3,3,3,2,3,3,4,3,2,2,2,2,3,3,3,3,2,2,2,4,4,2,3,4,4,3,4,4,4,2,2,4,4,4,4,14,13,8,7,6,16,16,12,12,1,1,0,0
88,144,1,NA,2,3,2,2,3,4,2,3,3,3,4,3,2,3,2,3,2,2,2,2,3,4,3,3,3,4,3,2,3,4,3,2,3,4,2,3,15,15,8,8,6,14,14,11,10,0,0,0,1
89,313,1,25,4,2,2,4,2,4,4,4,2,3,4,2,3,4,4,3,2,1,1,1,5,4,5,4,4,3,3,4,4,5,3,5,5,4,4,3,13,9,7,4,3,16,18,15,16,4,3,-2,-1
90,1943,1,21,4,3,5,1,2,2,1,2,5,1,4,4,3,3,3,3,4,3,3,3,4,5,5,5,5,4,4,4,5,2,5,3,5,5,5,5,20,21,11,6,9,18,17,19,17,-1,5,1,2
91,174,2,22,3,4,5,4,5,5,4,5,4,4,5,4,4,4,4,3,4,3,3,3,5,4,5,5,4,5,4,5,5,4,5,4,4,5,5,4,17,13,11,3,9,20,16,19,18,4,8,4,1
92,154,2,24,3,5,4,4,3,1,3,2,2,2,5,4,2,2,2,4,2,2,3,3,3,5,3,4,4,3,4,3,3,4,3,4,5,3,3,3,19,17,10,9,8,12,18,12,15,2,1,-6,-3
93,303,1,35,5,3,3,4,2,5,4,4,3,4,1,2,4,3,3,4,2,1,1,1,4,3,2,2,3,4,3,4,5,3,4,2,3,3,3,3,9,11,8,5,3,16,12,13,10,-2,3,4,3
94,139,2,21,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,2,3,4,4,3,3,4,4,3,3,4,4,3,3,15,14,9,6,6,16,16,11,12,1,3,0,-1
95,169,2,22,4,4,3,3,4,3,2,2,4,2,4,2,2,3,1,2,2,3,3,3,2,4,3,4,4,3,4,3,3,4,3,4,3,4,3,3,19,17,6,9,9,12,15,12,15,2,-3,-3,-3
96,161,1,28,4,5,4,5,3,4,4,2,4,3,3,3,4,3,3,3,2,2,2,2,5,4,3,2,4,5,5,5,5,5,2,4,5,4,4,4,15,15,8,5,6,19,18,14,15,0,3,1,-1
97,279,2,22,3,2,4,3,3,3,4,3,3,3,2,3,3,3,3,3,2,2,2,1,3,5,3,4,5,4,4,3,2,4,3,4,4,5,3,4,14,13,8,6,5,14,18,13,15,1,2,-4,-2
98,146,1,22,4,3,4,4,4,4,4,4,2,4,2,2,3,3,3,4,2,2,1,2,3,5,3,4,5,3,4,3,3,3,3,3,3,4,3,4,12,12,8,6,5,13,16,13,14,0,2,-3,-1
99,397,1,22,3,2,3,4,2,4,5,4,2,3,1,1,4,4,4,4,1,1,1,1,3,5,3,4,5,3,4,3,5,3,4,3,5,3,4,3,10,9,6,3,3,14,18,13,15,1,3,-4,-2
100,161,1,NA,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,4,2,3,4,4,3,3,4,3,3,3,4,3,3,3,15,14,6,9,6,15,15,11,12,1,-3,0,-1
101,171,1,21,3,3,3,4,4,2,4,4,3,3,2,3,2,2,2,3,3,2,2,2,5,4,4,3,5,4,4,3,5,3,4,3,4,5,3,4,16,11,9,9,6,19,16,15,13,5,0,3,2
102,193,2,26,4,3,2,3,4,3,4,3,3,3,2,3,3,3,4,3,2,2,2,2,4,3,3,3,3,4,3,4,4,3,4,3,3,4,3,4,15,12,8,5,6,16,12,15,12,3,3,4,3
103,222,1,22,3,3,2,3,2,4,4,3,2,3,4,2,3,3,4,3,2,1,2,1,2,4,2,4,5,4,4,3,4,2,4,2,4,2,4,2,13,12,7,5,4,12,15,11,14,1,2,-3,-3
104,186,1,27,5,1,2,1,1,4,5,5,1,4,1,1,4,4,4,4,2,1,1,1,5,4,5,4,5,5,5,5,5,3,4,3,5,5,4,4,7,9,7,3,3,20,17,18,16,-2,4,3,2
105,349,1,NA,2,3,2,3,2,4,4,5,2,3,2,1,3,3,3,4,1,1,1,2,4,2,4,3,4,2,4,3,4,2,4,2,4,2,4,2,11,10,6,6,4,12,12,13,13,1,0,0,0
106,366,2,23,5,2,1,2,4,2,3,2,2,4,2,3,3,2,2,4,3,2,2,2,5,3,2,4,5,1,4,1,5,1,5,4,3,3,3,4,14,13,10,8,6,14,12,12,15,1,2,2,-3
107,271,2,22,4,3,4,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,4,4,3,3,4,3,4,2,4,4,3,3,4,4,3,3,14,16,9,6,7,15,16,11,13,-2,3,-1,-2
108,566,2,49,5,2,3,4,1,4,3,4,3,4,5,1,3,3,4,3,1,1,2,1,4,3,4,3,5,4,5,3,3,4,2,4,4,5,4,5,13,11,5,5,4,16,16,14,16,2,0,0,-2
109,340,1,32,4,1,2,4,2,5,4,4,2,4,1,1,4,4,4,2,1,1,1,1,3,5,3,4,5,3,5,3,5,3,5,4,3,5,2,4,8,8,4,3,3,16,16,15,15,0,1,0,0
