NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
76,139,2,21,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,2,3,4,4,3,3,4,4,3,3,4,4,3,3,15,15,9,6,6,16,16,11,12,0,3,0,-1
77,169,2,22,4,4,3,3,4,3,2,2,4,2,4,2,2,3,1,2,2,3,3,3,2,4,3,4,4,3,4,3,3,4,3,4,3,4,3,3,19,18,6,9,9,12,15,12,15,1,-3,-3,-3
78,161,1,28,4,5,4,5,3,4,4,2,4,3,3,3,4,3,3,3,2,2,2,2,5,4,3,2,4,5,5,5,5,5,2,4,5,4,4,4,15,16,8,5,6,19,18,14,15,-1,3,1,-1
79,279,2,22,3,2,4,3,3,3,4,3,3,3,2,3,3,3,3,3,2,2,2,1,3,5,3,4,5,4,4,3,2,4,3,4,4,5,3,4,14,14,8,6,5,14,18,13,15,0,2,-4,-2
80,146,1,22,4,3,4,4,4,4,4,4,2,4,2,2,3,3,3,4,2,2,1,2,3,5,3,4,5,3,4,3,3,3,3,3,3,4,3,4,12,13,8,6,5,13,16,13,14,-1,2,-3,-1
81,397,1,22,3,2,3,4,2,4,5,4,2,3,1,1,4,4,4,4,1,1,1,1,3,5,3,4,5,3,4,3,5,3,4,3,5,3,4,3,10,10,6,3,3,14,18,13,15,0,3,-4,-2
82,161,1,NA,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,4,2,3,4,4,3,3,4,3,3,3,4,3,3,3,15,15,6,9,6,15,15,11,12,0,-3,0,-1
83,171,1,21,3,3,3,4,4,2,4,4,3,3,2,3,2,2,2,3,3,2,2,2,5,4,4,3,5,4,4,3,5,3,4,3,4,5,3,4,16,12,9,9,6,19,16,15,13,4,0,3,2
84,193,2,26,4,3,2,3,4,3,4,3,3,3,2,3,3,3,4,3,2,2,2,2,4,3,3,3,3,4,3,4,4,3,4,3,3,4,3,4,15,13,8,5,6,16,12,15,12,2,3,4,3
85,222,1,22,3,3,2,3,2,4,4,3,2,3,4,2,3,3,4,3,2,1,2,1,2,4,2,4,5,4,4,3,4,2,4,2,4,2,4,2,13,13,7,5,4,12,15,11,14,0,2,-3,-3
86,349,1,NA,2,3,2,3,2,4,4,5,2,3,2,1,3,3,3,4,1,1,1,2,4,2,4,3,4,2,4,3,4,2,4,2,4,2,4,2,11,11,6,6,4,12,12,13,13,0,0,0,0
87,366,2,23,5,2,1,2,4,2,3,2,2,4,2,3,3,2,2,4,3,2,2,2,5,3,2,4,5,1,4,1,5,1,5,4,3,3,3,4,14,14,10,8,6,14,12,12,15,0,2,2,-3
88,271,2,22,4,3,4,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,4,4,3,3,4,3,4,2,4,4,3,3,4,4,3,3,14,17,9,6,7,15,16,11,13,-3,3,-1,-2
89,566,2,49,5,2,3,4,1,4,3,4,3,4,5,1,3,3,4,3,1,1,2,1,4,3,4,3,5,4,5,3,3,4,2,4,4,5,4,5,13,12,5,5,4,16,16,14,16,1,0,0,-2
